,UserID,Name,Tweet,Mentions,Created At,Retweet,Likes,Location,Translated
51,mac_okocha,MAC-PARADISE OKOCHA,"@Ready4Rishi: 🚨This Thursday at 12:00, Rishi will be live on Facebook &amp; YouTube 𝐚𝐧𝐬𝐰𝐞𝐫𝐢𝐧𝐠 𝐲𝐨𝐮𝐫 𝐪𝐮𝐞𝐬𝐭𝐢𝐨𝐧𝐬

Sign up and #AskRishi anything…",['Ready 4 Rishi'],2022-11-03 03:51:14+00:00,1,0,Ghana,
52,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: Brilliant start to the week with events in Vauxhall, Kew and Harrow. 

The next hustings in Birmingham start at 7pm tonight…",['Rishi Sunak'],2022-11-03 03:51:11+00:00,1,0,Ghana,
53,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: Watch the hustings live in Birmingham via @TimesRadio at 7pm: https://t.co/7LRgLtPfFp

#Ready4Rishi","['Rishi Sunak', 'Times Radio']",2022-11-03 03:50:43+00:00,1,0,Ghana,
54,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: When I come across difficult problems I get to grips with them, and I solve them, that’s what I’ll do as Prime Minister.…",['Rishi Sunak'],2022-11-03 03:50:40+00:00,1,0,Ghana,
55,abhayraja07,Abhay Singh Bundela,"@Ready4Rishi: Fantastic that @PaulGoodmanCH is backing Rishi for Prime Minister👏

Read his article in the Telegraph here 👇
https://t.co/…","['Ready 4 Rishi', 'Paul Goodman']",2022-11-03 03:49:41+00:00,1,0,"Delhi, India 📍",
56,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: 🚨 Just 24 hours to go until I will be live on Facebook and YouTube answering your questions

Join over 1,000 people in sign…",['Rishi Sunak'],2022-11-03 03:49:04+00:00,1,0,Ghana,
57,mac_okocha,MAC-PARADISE OKOCHA,@Ready4Rishi: The best way to spread opportunity and reduce inequality in society is by providing every person with a world class educat…,['Ready 4 Rishi'],2022-11-03 03:48:57+00:00,1,0,Ghana,
58,mac_okocha,MAC-PARADISE OKOCHA,"@Ready4Rishi: Throughout the pandemic, Rishi fought to acknowledge the trade-offs of lockdowns.

Read Rishi's interview in the @Spectato…",['Ready 4 Rishi'],2022-11-03 03:48:27+00:00,1,0,Ghana,
59,mac_okocha,MAC-PARADISE OKOCHA,"@Ready4Rishi: As Prime Minister, Rishi will grip inflation and help people with the cost of living

If you missed today's #AskRishi even…",['Ready 4 Rishi'],2022-11-03 03:48:23+00:00,1,0,Ghana,
60,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: I will never let political correctness stand in the way of keeping you and your family safe. 

#Ready4Rishi https://t.co/Mv…",['Rishi Sunak'],2022-11-03 03:48:19+00:00,1,0,Ghana,
61,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: As Chancellor I put in place a significant package of support, but today we can see the situation has deteriorated so as Pr…",['Rishi Sunak'],2022-11-03 03:48:12+00:00,1,0,Ghana,
62,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: Great to speak to so many members at last night's Norwich leadership hustings.

If you missed it, you can catch up here: ht…",['Rishi Sunak'],2022-11-03 03:48:06+00:00,1,0,Ghana,
63,mac_okocha,MAC-PARADISE OKOCHA,"@Ready4Rishi: A huge thank you to all @Conservatives members coming to support Rishi across the country👏

This week, Rishi has been meet…","['Ready 4 Rishi', 'Conservatives']",2022-11-03 03:48:03+00:00,1,0,Ghana,
64,mac_okocha,MAC-PARADISE OKOCHA,"@DamianHinds: I’ve voted for @RishiSunak because I believe he has the plan, the guiding principles, and the character, to lead our count…","['Damian Hinds', 'Rishi Sunak']",2022-11-03 03:47:59+00:00,1,0,Ghana,
65,mac_okocha,MAC-PARADISE OKOCHA,@NickGibbUK: I voted for @RishiSunak because he is a serious politician with answers to the huge challenges facing Britain. He has a cre…,"['Nick Gibb', 'Rishi Sunak']",2022-11-03 03:47:55+00:00,1,0,Ghana,
66,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: With just one week to go, I'm getting my message out to @Conservatives members across the country

Watch the latest 'Rishi…","['Rishi Sunak', 'Conservatives']",2022-11-03 03:47:49+00:00,1,0,Ghana,
67,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: ""I have been clear that the priority must be to support people with the cost of rising bills, ensuring they can heat their…",['Rishi Sunak'],2022-11-03 03:47:43+00:00,1,0,Ghana,
68,mac_okocha,MAC-PARADISE OKOCHA,"@Ready4Rishi: 💬""Implementing £60 billion of immediate, permanent tax cuts, funded by borrowing and delivered at a time when inflation is…",['Ready 4 Rishi'],2022-11-03 03:47:36+00:00,1,0,Ghana,
69,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: Another brilliant week speaking to @Conservatives members across the country.

From Stratford to Southampton, Harrogate to…","['Rishi Sunak', 'Conservatives']",2022-11-03 03:47:32+00:00,1,0,Ghana,
70,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: 4️⃣ Only 4 days to go until the ballot closes

📣As Prime Minister, I will grip inflation, support people with the cost of l…",['Rishi Sunak'],2022-11-03 03:47:28+00:00,1,0,Ghana,
71,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: A busy weekend of campaigning and taking our message to as many members as possible. 

It's never been more important to gr…",['Rishi Sunak'],2022-11-03 03:47:23+00:00,1,0,Ghana,
72,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: Only 3 days to go in the @Conservatives leadership election

As Prime Minister, I will grip inflation, help people with the…","['Rishi Sunak', 'Conservatives']",2022-11-03 03:47:15+00:00,1,0,Ghana,
73,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: Looking forward to speaking to thousands of @Conservatives members tonight at the final hustings in London. 

I'm so gratef…","['Rishi Sunak', 'Conservatives']",2022-11-03 03:46:43+00:00,1,0,Ghana,
74,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: Every vote counts.

Watch tonight’s hustings live in London here👇 #ready4rishi 

https://t.co/HwojSnRWnN https://t.co/RF6HQ…",['Rishi Sunak'],2022-11-03 03:46:31+00:00,1,0,Ghana,
75,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: Thank you to all the people who came to support at the final hustings in London last night. 

Catch up with the full event…",['Rishi Sunak'],2022-11-03 03:46:27+00:00,1,0,Ghana,
76,mac_okocha,MAC-PARADISE OKOCHA,"@Ready4Rishi: 🚨Today is the last day of the @Conservatives leadership election

✅As Prime Minister, Rishi will grip inflation, support p…","['Ready 4 Rishi', 'Conservatives']",2022-11-03 03:46:14+00:00,1,0,Ghana,
77,mac_okocha,MAC-PARADISE OKOCHA,@Dunne4Ludlow: Last day for members to vote online by 17.00 in @Conservatives. I have voted #Ready4Rishi and encourage any members who h…,"['Philip Dunne', 'Conservatives']",2022-11-03 03:46:08+00:00,1,0,Ghana,
78,mac_okocha,MAC-PARADISE OKOCHA,@DominicRaab: Final day for voting … 👇#Ready4Rishi https://t.co/FVrYw6cXrn,['Dominic Raab'],2022-11-03 03:46:03+00:00,1,0,Ghana,
79,mac_okocha,MAC-PARADISE OKOCHA,"@baynes_simon: 🚨Today is the last day of the Conservatives leadership election.

✅As Prime Minister, Rishi will grip inflation, support…",['Simon Baynes MP'],2022-11-03 03:45:56+00:00,1,0,Ghana,
80,mac_okocha,MAC-PARADISE OKOCHA,"@JacobYoungMP: I’ve known @RishiSunak since he turned up in Northallerton seven years ago.

He has been a fantastic champion for our reg…","['Jacob Young MP', 'Rishi Sunak']",2022-11-03 03:45:53+00:00,1,0,Ghana,
81,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: Six weeks on the road and I’ve loved every second. 

Voting closes at 5pm today and every vote matters! #Ready4Rishi https:…",['Rishi Sunak'],2022-11-03 03:45:49+00:00,1,0,Ghana,
82,mac_okocha,MAC-PARADISE OKOCHA,"@Helen_Whately: Today is the last day of the #ConservativeLeadershipContest 

Throughout the campaign @RishiSunak has shown his grip of…","['Helen Whately', 'Rishi Sunak']",2022-11-03 03:45:46+00:00,1,0,Ghana,
83,mac_okocha,MAC-PARADISE OKOCHA,"@RishiSunak: Voting is now closed 🗳

Thank you to all my colleagues, campaign team and, of course, all the members who came out to meet…",['Rishi Sunak'],2022-11-03 03:45:42+00:00,1,0,Ghana,
84,budakabhavin,Bhavin Patel,"@AdoreAppys: #GiveUpRishi
#NeverSunak  
Not #Ready4Rishi 
The man is a SNAKE and CANNOT be trusted.  Give up SUNAK, it's OVER.

@Conserv…",['The Unionist! Scottish AND British #LizForLeader'],2022-11-02 20:06:45+00:00,1,0,,
85,swimfish106,Christine 🇪🇺,I’m not #ready4rishi It seems he is just the same but in a very expensive suit  #Rushcliffe #RuthEdwardsMP https://t.co/5CJC5xEnKp,[],2022-11-02 19:36:17+00:00,0,2,East Midlands  ,
86,Veera2713,Veeraiah Penagaluru,"@Ready4Rishi: 💬""Implementing £60 billion of immediate, permanent tax cuts, funded by borrowing and delivered at a time when inflation is…",['Ready 4 Rishi'],2022-11-02 18:47:01+00:00,1,0,"Bangalore, India",
87,WeLnever,Unmask the Great Deceivers .The 144000 are awake,@JuliaHB1 @RishiSunak More tax incoming #ready4rishi https://t.co/piOF6BWpzN,"['Julia Hartley-Brewer', 'Rishi Sunak']",2022-11-02 18:24:27+00:00,0,1,Planet Earth,
88,TheGamerChann12,The Gamer Channel,"@Keir_Starmer 

Went for 
@BorisJohnson 
@trussliz 
Now
@RishiSunak 

Appreciate you have the public's back but you need to calm down and give people a chance lad. 
#ready4rishi","['Keir Starmer', 'Boris Johnson', 'Liz Truss', 'Rishi Sunak']",2022-11-02 17:44:21+00:00,0,0,United Kingdom,
89,LucaGabr137,PassPhrase,I’m proud to vote for as our new PM because he will:✅ Get to grips with the national debt ✅ Support people struggling w/ the cost of living ✅ Turbo charge apprenticeships tech edn in the UK #Ready4Rishi,[],2022-11-02 17:36:42+00:00,0,0,Otherside,
90,harrison_alan,Alan Harrison 💙🇺🇦,@JohnJCrace Tory MPs may have been #ready4rishi as PM but is Rishi Ready? Seems not….,['John Crace'],2022-11-02 16:30:59+00:00,0,1,@europe,
91,BrownGirlMag,Brown Girl Magazine,@erinnbacchus: What does #RishiSunak’s role as PM really mean for brown folks and people of color as a whole? Are #identitypolitics real…,['Erinn'],2022-11-02 15:50:56+00:00,1,0,USA,
92,ShibaINUArmyUK,Genji 🕉,@RichardJMurphy #ready4rishi https://t.co/alhrVpwaHK,['Richard Murphy'],2022-11-02 13:10:29+00:00,0,0,,
