,UserID,Name,Tweet,Mentions,Created At,Retweet,Likes,Location
507,abhisagar6798,Abhisagar6798,"@Nyksindia: Har Ghar Tiranga Rally was organised at Iconic venue Anasakti Ashram -Kausani, Bageshwar, Uttarakhand in which State Directo…",['NYKS India'],2022-08-19 14:56:55+00:00,1,0,
508,abhisagar6798,Abhisagar6798,"@Nyksindia: आज़ादी के अमृत महोत्सव में देश के प्रति अपने प्रेम को दर्शायें, और इस साल 13 से 15 अगस्त तक चलने वाले #HarGharTiranga अभियान…",['NYKS India'],2022-08-19 14:56:50+00:00,1,0,
509,veenitKumari789,Veenita Kumari,"@metro_india: 21 cities, 31 stores, One Nation 

METRO extends #HarGharTiranga to #HarStoreTiranga!

75 humble #Kirana owners invited to…",['METRO Wholesale India'],2022-08-19 14:56:49+00:00,1,0,"Hajipur, India"
510,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,"@jk_nyks: State Office NYKS J&amp;K Ladakh &amp; @JammuNehru office celebrating 75th Independence Day at  Gandhi Nagar Jammu today.
#HarGharTira…","['NYKS J&K - Ladakh', 'Nehru Yuva Kendra Jammu']",2022-08-19 14:56:40+00:00,1,0,Jalandhar
511,abhisagar6798,Abhisagar6798,"@nykssouthzone: Let us further this movement by hoisting the National Flag at our homes.  Here’s how to virtually pin the Indian flag.
@…",['RD NYKS Bangalore'],2022-08-19 14:56:40+00:00,1,0,
512,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@NyksMorena: नेहरू युवा केंद्र मुरैना द्वारा राकेश सिंह तोमर उपनिदेशक के निर्देशानुसार हर घर तिरंगा कार्यक्रम के तहत रैली का आयोजन ब्लॉक…,['NEHRU YUVA KENDRA MORENA'],2022-08-19 14:56:28+00:00,1,0,Jalandhar
513,abhisagar6798,Abhisagar6798,@nykskarnataka: HarGhar Tiranga Campaign inaugurated by Hon’ble CMKarnataka @BSBommai Shri.Basavaraj Bommai today at the historical gran…,"['NYKS KARNATAKA', 'Basavaraj S Bommai']",2022-08-19 14:56:20+00:00,1,0,
514,abhisagar6798,Abhisagar6798,"@Nyksindia: Our Tri-color represents our vision.

#HarGharTiranga #Leh #JaiHind #Tricolor https://t.co/7f008359TS",['NYKS India'],2022-08-19 14:56:16+00:00,1,0,
515,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,"@NadiaNyks: HGT Campaign along with a cleanliness drive organised by NYK Nadia at Krishnanagar Rajbari, an iconi site in Nadia
#HarGharT…","['NYK, NADIA']",2022-08-19 14:56:13+00:00,1,0,Jalandhar
516,abhisagar6798,Abhisagar6798,"@Nyksindia: The three colors of our flag tell about our past, present and future.

#Nagaland #HarGharTiranga #JaiHind #Rally https://t.c…",['NYKS India'],2022-08-19 14:56:10+00:00,1,0,
517,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,"@MADHURA86363264: स्वतंत्रता का प्रतीक है, शहीदों का मान है तिरंगा धरोहर है हमारी, तिरंगा ही पहचान है ।

हर घर तिरंगा 🇮🇳आज़ादी के अमृत म…",['MADHURANJAN KUMAR'],2022-08-19 14:56:03+00:00,1,0,Jalandhar
518,Parthas62140210,Md Farhan,"@JannatEHaphruda: بھارتی فوج نے اقبال میموریل پبلک ہائی سکول، گشی میں یوم آزادی کے کوئز مقابلے کا انعقاد کیا۔
#Kashmir
#ProsperousKashmi…",['Jannat-e-Haphruda'],2022-08-19 14:56:01+00:00,1,0,"Chandigarh, India"
519,Akramm63036912,Akramm,"@JannatEHaphruda: بھارتی فوج نے اقبال میموریل پبلک ہائی سکول، گشی میں یوم آزادی کے کوئز مقابلے کا انعقاد کیا۔
#Kashmir
#ProsperousKashmi…",['Jannat-e-Haphruda'],2022-08-19 14:55:58+00:00,1,0,
